id,created_at,text
1204510266135851009,2019-12-10 21:16:40,#NoHayDerecho a ser torturada por decir lo que piensas. Karina es una de las cientos de mujeres víctimas de vejámenes durante las manifestaciones sociales #DiaDeLosDerechosHumanos #PS https://t.co/zzA3ggLkEg
1204179005676642305,2019-12-09 23:20:22,#NoHayDerecho a no poder expresar tu opinión. Diego es una de las miles de víctimas de la violenta represión durante manifestaciones sociales    #DerechosHumanos #PS https://t.co/CvXqkNGRxp
1204128646862114817,2019-12-09 20:00:15,#PS lanza campaña “No hay derecho” para sensibilizar sobre irrestricto respeto a los derechos humanos #NoHayDerecho #ActitudSocialista https://t.co/NoTYm1yL8U
1204073450932969472,2019-12-09 16:20:55,"Este mediodía el #PS, liderado por su presidente, senador @alvaroelizalde, lanzó la campaña ""No hay derecho"", en el marco del Día Internacional de los Derechos Humanos que se conmemora este martes 10 #NoHayDerecho #ActitudSocialista https://t.co/beDWnqcX02"
1203309657948852226,2019-12-07 13:45:53,"Con una masiva asistencia, el presidente del #PS, @alvaroelizalde,  inaugura a esta hora el seminario internacional ""Feminismo y Nueva Constitución"" organizado por @MujeresPS, @FESChile y el @iigualdad https://t.co/OkBMJbQWLb"
1202981368591896577,2019-12-06 16:01:23,"Declaración pública: oposición impulsará leyes para participación indígena, mujeres e independientes en Convención Constituyente https://t.co/XeoWYCWbcb"
1202950725141192704,2019-12-06 13:59:37,"Sobre dichos del presidente del Banco Central, el timonel del #PS, @alvaroelizalde, afirma que ""es fundamental llegar a un entendimiento que involucre una agenda social antiabusos que se haga cargo de la demanda ciudadana"" https://t.co/MGpGRNl4hD"
1202946003499921408,2019-12-06 13:40:51,".@alvaroelizalde, presidente del #PS, y polémica por himno de Carabineros en las calles: ""La Contraloría ha sido clara. Más que desfilar y cantar, me gustaría ver a Carabineros controlando la delincuencia"" https://t.co/PTuwLhyb5E"
1202942042738872320,2019-12-06 13:25:07,"Presidente del #PS, @alvaroelizalde, participa a esta hora en matinal @ContigoCHV, de @chilevision https://t.co/CZsGJDUDnJ"
1201846517696360448,2019-12-03 12:51:53,"En @Bienvenidos13, @alvaroelizalde asegura que ""el bono anunciado por el Presidente @sebastianpinera va en la lógica de reactivación, pero no da cuenta de la demanda social de fondo. Piñera no está convencido de la necesidad de cambios estructurales al modelo de desarrollo"". #PS https://t.co/1Rfv7khzgV"
1201842632412028930,2019-12-03 12:36:27,"“Debe crearse un plan nacional de protección al empleo, eso funcionó en el año 2009. El clima va a cambiar en la medida que se den respuestas sociales”, asegura @alvaroelizalde, presidente del #PS, en @Bienvenidos13 @canal13 https://t.co/e072KjVuqd"
1201837204256915456,2019-12-03 12:14:53,"Sobre medidas del Gobierno, @alvaroelizalde afirma en @Bienvenidos13 que “son valorables pero insuficientes. Los recursos frescos son menos que los dispuso el Gobierno para la crisis de 2009. Es necesario discutir nuestro sistema tributario para generar recursos permanentes” #PS https://t.co/f5cRqwxzLS"
1201832818512408578,2019-12-03 11:57:27,"“Es imprescindible reforzar iniciativas para proteger el empleo, porque en caso contrario vamos a tener un drama social adicional al que hemos visto estos días en las calles”, afirma el presidente del #PS,  @alvaroelizalde, en @Bienvenidos13 https://t.co/z3FNMPPLf0"
1200794852515991552,2019-11-30 15:12:57,"Presidente del #PS, @alvaroelizalde, y presidenta de @iigualdad, Clarisa Hardy, inauguran esta mañana Encuentro de Colaboradores/as para el Proceso Constituyente #NuevaConstitucionParaChile #NuevaConstitución #ActitudSocialista https://t.co/uSxSwn8ju8"
1200177722686889984,2019-11-28 22:20:41,"Presidente y secretario general del #PS, @alvaroelizalde y @santanderps, junto al senador @carlosmontestwt, encabezan reunión del Regional Metropolitano con direcciones comunales, concejales y consejeros regionales en nuestra sede de calle París #ActitudSocialista https://t.co/8f3ZBAOvDw"
1200038478827937793,2019-11-28 13:07:23,"""Condenamos la violencia sin ningún doble estándar, pero esto requiere medidas en todos los ámbitos, no sólo en seguridad, sino también en lo social"", afirma @alvaroelizalde, presidente del #PS, en @ContigoCHV https://t.co/Us5fTLoJkj"
1200033814183108608,2019-11-28 12:48:51,"""El Presidente Piñera trata de evadir y traspasar su responsabilidad al Congreso con proyectos de seguridad. La ley antiencapuchados criminaliza la manifestación social pacífica"", asegura el presidente del #PS, @alvaroelizalde, en @ContigoCHV https://t.co/eYYX6QmAZa"
1200028956008706048,2019-11-28 12:29:33,"A esta hora el presidente del #PS, senador @alvaroelizalde, participa en matinal @ContigoCHV, de @chilevision https://t.co/KafQuIreXG"
1199868722502160384,2019-11-28 01:52:50,"Presidente del #PS, @alvaroelizalde, y proyectos de seguridad anunciados por el Presidente Piñera: ""Condenamos de forma categórica la violencia, pero si el Gobierno se quiere lavar las manos y tirar la pelota al Congreso, está equivocando nuevamente la estrategia"" https://t.co/PgUpVlqKhX"
1199721718039887872,2019-11-27 16:08:41,Declaración pública de partidos políticos de oposición rechazando espiral de violencia irracional y violaciones a los derechos humanos #PS https://t.co/e2cxLbsxdr
1199436785106870272,2019-11-26 21:16:28,Declaración pública del Partido Socialista de Chile frente al informe de Human Rights Watch sobre graves violaciones a los derechos humanos en  nuestro país #PS. https://t.co/l5TcVYjzEn
1199391945438748673,2019-11-26 18:18:18,"Presidente del #PS, @alvaroelizalde, e informe de Human Rigths Watch que acusó graves violaciones a los derechos humanos en Chile https://t.co/oGBY7zMFGe"
